,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,,
1,12170,-0.04,0.228137244,0.19075,-0.268137244,-0.23075,-0.037387244,0.071897581,0.053245563,,,
2,12171,-0.03,0.16450033,0.185777778,-0.19450033,-0.215777778,-0.010841253,0.037830378,0.046560049,,,
3,12172,-0.99,0.08644314,0.187833333,-1.07644314,-1.177833333,0.053813398,1.158729833,1.387291361,,,
4,12173,0.05,0.163051705,0.182638889,-0.113051705,-0.132638889,0.047370014,0.012780688,0.017593075,,,
5,12174,-1.19,0.653605273,0.182416667,-1.843605273,-1.372416667,-0.144292164,3.398880401,1.883527507,,,
6,12177,-0.15,0.330423486,0.176388889,-0.480423486,-0.326388889,-0.141513766,0.230806726,0.106529707,,,
7,12178,0.39,-0.206926276,0.175583333,0.596926276,0.214416667,-0.156238307,0.356320979,0.045974507,,,
8,12179,-1.12,0.558845686,0.178416667,-1.678845686,-1.298416667,-0.197060487,2.818522838,1.68588584,,,
9,12180,1.62,-0.239154071,0.166416667,1.859154071,1.453583333,-0.229410459,3.456453861,2.112904507,,,
10,12181,1.14,0.329609461,0.16925,0.810390539,0.97075,-0.194441173,0.656732825,0.942355563,,,
11,12184,-0.33,0.242642894,0.171583333,-0.572642894,-0.501583333,-0.186371748,0.327919884,0.25158584,,,
12,12185,0.45,-0.050253027,0.17025,0.500253027,0.27975,-0.184734448,0.250253091,0.078260063,,,
13,12186,0.04,0.116807597,0.172972222,-0.076807597,-0.132972222,-0.176880833,0.005899407,0.017681612,,,
14,12187,-0.06,0.029402353,0.173361111,-0.089402353,-0.233361111,-0.168271954,0.007992781,0.054457408,,,
15,12188,1.19,0.257388758,0.176305556,0.932611242,1.013694444,-0.149686504,0.869763728,1.027576427,,,
16,12191,0.95,0.123365025,0.179666667,0.826634975,0.770333333,-0.14431157,0.683325382,0.593413444,,,
17,12192,-0.36,0.426106623,0.176138889,-0.786106623,-0.536138889,-0.148796716,0.617963624,0.287444908,,,
18,12193,0.22,-0.186682164,0.174111111,0.406682164,0.045888889,-0.149553361,0.165390382,0.00210579,,,
19,12194,0.21,0.588518393,0.174805556,-0.378518393,0.035194444,-0.149736502,0.143276173,0.001238649,,,
20,12195,1,0.73909996,0.17,0.26090004,0.83,-0.124601196,0.068068831,0.6889,,,
21,12199,0.18,0.668199497,0.170333333,-0.488199497,0.009666667,-0.12820955,0.238338749,9.34E-05,,,
22,12200,-0.34,0.586057045,0.169888889,-0.926057045,-0.509888889,-0.139910995,0.85758165,0.259986679,,,
23,12201,1.82,-0.454020449,0.167777778,2.274020449,1.652222222,-0.181420102,5.171169001,2.729838272,,,
24,12202,0.99,0.18092071,0.172083333,0.80907929,0.817916667,-0.174001541,0.654609298,0.668987674,,,
25,12205,-0.27,0.327121042,0.175916667,-0.597121042,-0.445916667,-0.172886331,0.356553539,0.198841674,,,
