,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,
1,12655,-1.72,0.126675625,0.173833333,-1.846675625,-1.893833333,0.047157708,3.410210865,3.586604694,,
2,12656,-1.51,0.202939567,0.1625,-1.712939567,-1.6725,0.005534175,2.934161961,2.79725625,,
3,12657,0.43,-0.247921609,0.153805556,0.677921609,0.276194444,-0.038542136,0.459577708,0.076283371,,
4,12660,-0.31,0.248662629,0.155222222,-0.558662629,-0.465222222,-0.04184313,0.312103933,0.216431716,,
5,12661,0.33,0.146096613,0.154555556,0.183903387,0.175444444,-0.037596569,0.033820456,0.030780753,,
6,12662,-0.91,-0.049130378,0.14925,-0.860869622,-1.05925,-0.004485272,0.741096506,1.122010563,,
7,12663,0.02,-0.155522678,0.142388889,0.175522678,-0.122388889,-0.005211975,0.03080821,0.01497904,,
8,12664,0.57,-0.2687433,0.140194444,0.8387433,0.429805556,-0.036528431,0.703490323,0.184732816,,
9,12668,-0.25,-0.388422829,0.139222222,0.138422829,-0.389222222,-0.026657057,0.01916088,0.151493938,,
10,12669,0.06,0.18646794,0.135611111,-0.12646794,-0.075611111,-0.025832844,0.01599414,0.00571704,,
11,12670,0.91,0.072745596,0.135972222,0.837254404,0.774027778,-0.028831921,0.700994936,0.599119001,,
12,12671,-1.28,-0.185685098,0.142694444,-1.094314902,-1.422694444,0.011062784,1.197525105,2.024059482,,
13,12674,0.37,0.123921555,0.13975,0.246078445,0.23025,0.010281606,0.060554601,0.053015063,,
14,12675,0.49,0.427089874,0.140583333,0.062910126,0.349416667,0.014681762,0.003957684,0.122092007,,
15,12676,1.65,-0.417455283,0.138555556,2.067455283,1.511444444,-0.056055286,4.274371348,2.284464309,,
16,12677,0.52,0.017123694,0.139611111,0.502876306,0.380388889,-0.057478747,0.252884579,0.144695707,,
17,12678,0.78,0.012622677,0.134722222,0.767377323,0.645277778,-0.060252467,0.588867956,0.41638341,,
18,12681,0.23,-0.47125295,0.133527778,0.70125295,0.096472222,-0.072755496,0.4917557,0.00930689,,
19,12682,0.42,-0.02229022,0.130277778,0.44229022,0.289722222,-0.073783718,0.195620639,0.083938966,,
20,12683,0.72,0.748781469,0.124861111,-0.028781469,0.595138889,-0.061392424,0.000828373,0.354190297,,
21,12684,0.1,0.454169227,0.126722222,-0.354169227,-0.026722222,-0.063262531,0.125435841,0.000714077,,
22,12685,1.09,0.18227177,0.126472222,0.90772823,0.963527778,-0.057356282,0.82397054,0.928385779,,
23,12688,0.29,-0.057365987,0.119944444,0.347365987,0.170055556,-0.058335337,0.120663129,0.028918892,,
24,12689,0.37,-0.55771882,0.117277778,0.92771882,0.252722222,-0.076186048,0.860662208,0.063868522,,
25,12690,0.29,-0.264552755,0.118222222,0.554552755,0.171777778,-0.081040338,0.307528758,0.029507605,,
26,12691,1.07,0.065889098,0.123027778,1.004110902,0.946972222,-0.079908679,1.008238704,0.89675639,,
27,12692,0.8,-0.053602708,0.123555556,0.853602708,0.676444444,-0.083223481,0.728637584,0.457577086,,
28,12695,0.82,-1.454711567,0.123083333,2.274711567,0.696916667,-0.172700994,5.174312714,0.48569284,,
29,12696,-0.36,-0.476327788,0.121694444,0.116327788,-0.481694444,-0.164763852,0.013532154,0.232029538,,
30,12697,1.43,-0.09403083,0.123388889,1.52403083,1.306611111,-0.166511267,2.322669969,1.707232596,,
31,12698,0.35,-0.395340806,0.122666667,0.745340806,0.227333333,-0.17213869,0.555532918,0.051680444,,
32,12699,-0.99,0.67847059,0.121611111,-1.66847059,-1.111611111,-0.189905651,2.78379411,1.235679262,,
33,12702,0.69,0.278306504,0.116361111,0.411693496,0.573638889,-0.18332489,0.169491535,0.329061575,,
34,12703,0.41,0.483929405,0.120027778,-0.073929405,0.289972222,-0.179110226,0.005465557,0.08408389,,
35,12704,1.33,0.50706588,0.122555556,0.82293412,1.207444444,-0.160133998,0.677220566,1.457922086,,
36,12705,0.81,0.62404051,0.133138889,0.18595949,0.676861111,-0.150353123,0.034580932,0.458140964,,
37,12706,0.33,1.078562473,0.135916667,-0.748562473,0.194083333,-0.15574771,0.560345776,0.03766834,,
38,12709,0.24,0.389042035,0.135277778,-0.149042035,0.104722222,-0.153813343,0.022213528,0.010966744,,
39,12710,1.58,1.267237417,0.132638889,0.312762583,1.447361111,-0.118823663,0.097820433,2.094854186,,
40,12711,0.63,-0.701086506,0.138305556,1.331086506,0.491694444,-0.137634425,1.771791286,0.241763427,,
41,12712,0.15,-0.314870592,0.140083333,0.464870592,0.009916667,-0.138808766,0.216104667,9.83E-05,,
42,12713,1.42,-0.177039847,0.140916667,1.597039847,1.279083333,-0.145118059,2.550536274,1.636054174,,
43,12716,-1.41,-0.797169727,0.137888889,-0.612830273,-1.547888889,-0.113526522,0.375560943,2.395960012,,
44,12717,0.59,-0.53534176,0.135388889,1.12534176,0.454611111,-0.124759959,1.266394077,0.206671262,,
45,12718,-0.27,0.100114286,0.130333333,-0.370114286,-0.400333333,-0.122797441,0.136984585,0.160266778,,
46,12719,0.55,0.574506864,0.125222222,-0.024506864,0.424777778,-0.119017456,0.000600586,0.18043616,,
47,12720,0.87,0.366648195,0.123027778,0.503351805,0.746972222,-0.113259789,0.25336304,0.557967501,,
48,12723,1.19,0.004985368,0.12875,1.185014632,1.06125,-0.113435823,1.404259679,1.126251563,,
49,12724,0.56,0.409455533,0.127805556,0.150544467,0.432194444,-0.110147271,0.022663636,0.186792038,,
50,12725,-0.58,-0.040410345,0.125027778,-0.539589655,-0.705027778,-0.106024987,0.291156995,0.497064167,,
51,12726,-0.06,-0.394270811,0.124916667,0.334270811,-0.184916667,-0.105776975,0.111736975,0.034194174,,
52,12727,-1.17,0.680855871,0.124361111,-1.850855871,-1.294361111,-0.120767432,3.425667457,1.675370686,,
53,12730,0.66,-0.222590407,0.130694444,0.882590407,0.529305556,-0.124290356,0.778965827,0.280164371,,
54,12731,0.67,0.546697617,0.128583333,0.123302383,0.541416667,-0.11987676,0.015203478,0.293132007,,
55,12732,0.18,-0.648719237,0.133416667,0.828719237,0.046583333,-0.125600036,0.686775574,0.002170007,,
56,12733,-0.05,-0.184863567,0.131388889,0.134863567,-0.181388889,-0.124277429,0.018188182,0.032901929,,
57,12734,1.38,-1.103252201,0.1305,2.483252201,1.2495,-0.163977047,6.166541492,1.56125025,,
58,12737,0.92,0.087829964,0.135055556,0.832170036,0.784944444,-0.162103537,0.692506969,0.616137781,,
59,12738,0.2,-0.296894885,0.135111111,0.496894885,0.064888889,-0.162883583,0.246904526,0.004210568,,
60,12739,0.2,0.125727123,0.132805556,0.074272877,0.067194444,-0.16152111,0.00551646,0.004515093,,
61,12740,-0.85,0.007299519,0.131222222,-0.857299519,-0.981222222,-0.1564896,0.734962465,0.962797049,,
62,12741,-2.87,0.381741532,0.131472222,-3.251741532,-3.001472222,-0.154149183,10.57382299,9.008835501,,
63,12744,-1.51,-0.348082867,0.117388889,-1.161917133,-1.627388889,-0.139331648,1.350051424,2.648394596,,
64,12745,-0.2,-0.298084056,0.114222222,0.098084056,-0.314222222,-0.137433394,0.009620482,0.098735605,,
65,12746,-0.39,-0.311777964,0.11375,-0.078222036,-0.50375,-0.134179881,0.006118687,0.253764063,,
66,12748,-0.03,-0.146594074,0.115416667,0.116594074,-0.145416667,-0.133077625,0.013594178,0.021146007,,
67,12751,-1.72,0.631515923,0.120638889,-2.351515923,-1.840638889,-0.143925617,5.529627135,3.387951519,,
68,12752,0.35,-0.084389206,0.116694444,0.434389206,0.233305556,-0.143762365,0.188693982,0.054431482,,
69,12753,-0.44,0.641459414,0.118472222,-1.081459414,-0.558472222,-0.148424148,1.169554464,0.311891223,,
70,12754,0.81,0.681119788,0.115416667,0.128880212,0.694583333,-0.143536546,0.016610109,0.482446007,,
71,12755,0.85,-0.02365687,0.114444444,0.87365687,0.735555556,-0.143448398,0.763276327,0.541041975,,
72,12758,-1.75,-0.297908436,0.116388889,-1.452091564,-1.866388889,-0.129413749,2.108569911,3.483407485,,
73,12759,-0.58,0.55543654,0.107805556,-1.13543654,-0.687805556,-0.133524271,1.289216136,0.473076482,,
74,12760,-0.84,0.192834379,0.106111111,-1.032834379,-0.946111111,-0.132871471,1.066746855,0.895126235,,
75,12761,-2.04,0.254903176,0.100638889,-2.294903176,-2.140638889,-0.132084646,5.266580587,4.582334853,,
76,12762,-0.03,-0.061224308,0.091,0.031224308,-0.121,-0.131113765,0.000974957,0.014641,,
77,12765,1.17,0.029013351,0.090555556,1.140986649,1.079444444,-0.13007777,1.301850533,1.165200309,,
78,12766,0.24,0.548522954,0.090583333,-0.308522954,0.149416667,-0.129669985,0.095186413,0.02232534,,
79,12767,-0.12,-0.244939215,0.094333333,0.124939215,-0.214333333,-0.128621504,0.015609807,0.045938778,,
80,12768,1.69,0.241385243,0.094916667,1.448614757,1.595083333,-0.12300912,2.098484713,2.54429084,,
81,12769,0.52,-0.13795923,0.097055556,0.65795923,0.422944444,-0.123616591,0.432910348,0.178882003,,
82,12772,0.34,0.066138748,0.094222222,0.273861252,0.245777778,-0.122898501,0.074999985,0.060406716,,
83,12773,-0.83,-0.208307525,0.091361111,-0.621692475,-0.921361111,-0.118782201,0.386501534,0.848906297,,
84,12774,0.94,0.006202147,0.086111111,0.933797853,0.853888889,-0.118350508,0.87197843,0.729126235,,
85,12775,-0.07,0.12656849,0.081638889,-0.19656849,-0.151638889,-0.117725133,0.038639171,0.022994353,,
86,12779,0.33,-0.234093858,0.07675,0.564093858,0.25325,-0.118444091,0.31820188,0.064135563,,
87,12780,-2.08,0.023148703,0.074111111,-2.103148703,-2.154111111,-0.113230795,4.423234466,4.640194679,,
88,12781,-0.37,-0.362429044,0.068611111,-0.007570956,-0.438611111,-0.111395537,5.73E-05,0.192379707,,
89,12782,0.51,1.085188641,0.062694444,-0.575188641,0.447305556,-0.111351233,0.330841973,0.20008226,,
90,12783,0.45,0.179416419,0.062194444,0.270583581,0.387805556,-0.11021149,0.073215474,0.150393149,,
91,12786,0.16,0.838862337,0.069833333,-0.678862337,0.090166667,-0.112045876,0.460854072,0.008130028,,
92,12787,-0.04,0.587776472,0.066333333,-0.627776472,-0.106333333,-0.113480791,0.394103298,0.011306778,,
93,12788,-1.17,0.378652872,0.065472222,-1.548652872,-1.235472222,-0.116457292,2.398325719,1.526391612,,
94,12789,-0.48,0.391563234,0.062361111,-0.871563234,-0.542361111,-0.118068536,0.759622471,0.294155575,,
95,12790,-1.49,-0.20706649,0.05475,-1.28293351,-1.54475,-0.112057444,1.645918391,2.386252563,,
96,12793,0.17,-0.940843858,0.047055556,1.110843858,0.122944444,-0.117679954,1.233974077,0.015115336,,
97,12794,0.74,0.292023593,0.044333333,0.447976407,0.695666667,-0.115324597,0.200682862,0.483952111,,
98,12795,0.72,-0.106098569,0.045055556,0.826098569,0.674944444,-0.115581421,0.682438845,0.455550003,,
99,12796,-0.17,0.012163246,0.049583333,-0.182163246,-0.219583333,-0.114890481,0.033183448,0.04821684,,
100,12797,0.32,-0.29483587,0.045833333,0.61483587,0.274166667,-0.115767444,0.378023148,0.075167361,,
101,12801,0.15,-0.373405678,0.0525,0.523405678,0.0975,-0.116488694,0.273953503,0.00950625,,
102,12802,-0.21,0.269621783,0.059194444,-0.479621783,-0.269194444,-0.116640674,0.230037055,0.072465649,,
103,12803,0.34,-0.216187416,0.066055556,0.556187416,0.273944444,-0.117164105,0.309344441,0.075045559,,
104,12804,0.04,-0.435723541,0.064027778,0.475723541,-0.024027778,-0.117690026,0.226312888,0.000577334,,
105,12807,-0.93,0.18553405,0.068361111,-1.11553405,-0.998361111,-0.117675278,1.244416216,0.996724908,,
106,12808,-0.73,0.779224063,0.060888889,-1.509224063,-0.790888889,-0.124526276,2.277757272,0.625505235,,
107,12809,-0.38,0.261695948,0.056333333,-0.641695948,-0.436333333,-0.124851987,0.41177369,0.190386778,,
108,12810,-0.26,0.168345222,0.0495,-0.428345222,-0.3095,-0.124616747,0.183479629,0.09579025,,
109,12811,0.08,-0.061268786,0.044388889,0.141268786,0.035611111,-0.124129415,0.01995687,0.001268151,,
110,12814,-0.74,-0.608809653,0.040055556,-0.131190347,-0.780055556,-0.120445986,0.017210907,0.60848667,,
111,12815,-0.75,0.252824295,0.037638889,-1.002824295,-0.787638889,-0.121268394,1.005656567,0.620375019,,
112,12816,0.06,-0.020931074,0.033972222,0.080931074,0.026027778,-0.120752045,0.006549839,0.000677445,,
113,12817,-0.32,-0.503783075,0.034055556,0.183783075,-0.354055556,-0.11972329,0.033776219,0.125355336,,
114,12818,0.08,0.115660229,0.03,-0.035660229,0.05,-0.119189933,0.001271652,0.0025,,
115,12821,-0.55,0.261971984,0.026638889,-0.811971984,-0.576638889,-0.119924632,0.659298502,0.332512408,,
116,12822,-0.86,-0.166110126,0.024722222,-0.693889874,-0.884722222,-0.117583824,0.481483157,0.78273341,,
117,12823,0.21,-0.187811783,0.021027778,0.397811783,0.188972222,-0.117599905,0.158254215,0.035710501,,
118,12824,-0.1,-1.176835282,0.024,1.076835282,-0.124,-0.12210992,1.159574224,0.015376,,
119,12825,-1.09,0.327746898,0.022638889,-1.417746898,-1.112638889,-0.12416414,2.010006267,1.237965297,,
120,12828,1.33,-0.072868026,0.015916667,1.402868026,1.314083333,-0.123602857,1.968038699,1.726815007,,
121,12829,0.05,-0.190140305,0.025916667,0.240140305,0.024083333,-0.123332974,0.057667366,0.000580007,,
