,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,,
1,12170,-1.72,0.854000883,0.173833333,-2.574000883,-1.893833333,-0.680167549,6.625480543,3.586604694,,,
2,12171,-1.51,0.678375005,0.1625,-2.188375005,-1.6725,-0.602384095,4.788985165,2.79725625,,,
3,12172,0.43,1.121639063,0.153805556,-0.691639063,0.276194444,-0.523608725,0.478364593,0.076283371,,,
4,12173,-0.31,-0.479246598,0.155222222,0.169246598,-0.465222222,-0.434420869,0.028644411,0.216431716,,,
5,12174,0.33,0.887215684,0.154555556,-0.557215684,0.175444444,-0.405875839,0.310489318,0.030780753,,,
6,12177,-0.91,0.526059343,0.14925,-1.436059343,-1.05925,-0.401173543,2.062266436,1.122010563,,,
7,12178,0.02,-0.788410875,0.142388889,0.808410875,-0.122388889,-0.40270493,0.653528143,0.01497904,,,
8,12179,0.57,1.557062586,0.140194444,-0.987062586,0.429805556,-0.40894867,0.974292548,0.184732816,,,
9,12180,-0.25,0.306688582,0.139222222,-0.556688582,-0.389222222,-0.389573238,0.309902178,0.151493938,,,
10,12181,0.06,-0.114428979,0.135611111,0.174428979,-0.075611111,-0.370459124,0.030425469,0.00571704,,,
11,12184,0.91,0.280367813,0.135972222,0.629632187,0.774027778,-0.33693957,0.396436691,0.599119001,,,
12,12185,-1.28,-0.574569189,0.142694444,-0.705430811,-1.422694444,-0.246603233,0.497632629,2.024059482,,,
13,12186,0.37,0.704810039,0.13975,-0.334810039,0.23025,-0.238442251,0.112097762,0.053015063,,,
14,12187,0.49,0.165479976,0.140583333,0.324520024,0.349416667,-0.228213698,0.105313246,0.122092007,,,
15,12188,1.65,0.426150035,0.138555556,1.223849965,1.511444444,-0.181122375,1.497808737,2.284464309,,,
16,12191,0.52,0.278094538,0.139611111,0.241905462,0.380388889,-0.172101662,0.058518252,0.144695707,,,
17,12192,0.78,0.291971908,0.134722222,0.488028092,0.645277778,-0.159899243,0.238171419,0.41638341,,,
18,12193,0.23,-0.092406052,0.133527778,0.322406052,0.096472222,-0.157893464,0.103945662,0.00930689,,,
19,12194,0.42,-0.073953857,0.130277778,0.493953857,0.289722222,-0.157453153,0.243990413,0.083938966,,,
20,12195,0.72,0.098004471,0.124861111,0.621995529,0.595138889,-0.15266349,0.386878439,0.354190297,,,
21,12199,0.1,-0.05499765,0.126722222,0.15499765,-0.026722222,-0.149551071,0.024024271,0.000714077,,,
22,12200,1.09,0.567494672,0.126472222,0.522505328,0.963527778,-0.126831617,0.273011818,0.928385779,,,
23,12201,0.29,-0.523665549,0.119944444,0.813665549,0.170055556,-0.138504642,0.662051626,0.028918892,,,
24,12202,0.37,0.136820601,0.117277778,0.233179399,0.252722222,-0.13513433,0.054372632,0.063868522,,,
25,12205,0.29,0.356977314,0.118222222,-0.066977314,0.171777778,-0.131748116,0.004485961,0.029507605,,,
26,12206,1.07,-0.413988244,0.123027778,1.483988244,0.946972222,-0.153080183,2.202221108,0.89675639,,,
27,12207,0.8,0.856785266,0.123555556,-0.056785266,0.676444444,-0.139428373,0.003224566,0.457577086,,,
28,12208,0.82,0.0202814,0.123083333,0.7997186,0.696916667,-0.138241219,0.639549839,0.48569284,,,
29,12209,-0.36,-0.008508165,0.121694444,-0.351491835,-0.481694444,-0.133004975,0.12354651,0.232029538,,,
30,12212,1.43,0.810651593,0.123388889,0.619348407,1.306611111,-0.10141853,0.383592449,1.707232596,,,
31,12213,0.35,-0.073972424,0.122666667,0.423972424,0.227333333,-0.10197873,0.179752616,0.051680444,,,
32,12214,-0.99,0.102011195,0.121611111,-1.092011195,-1.111611111,-0.096871756,1.192488451,1.235679262,,,
33,12215,0.69,0.582033724,0.116361111,0.107966276,0.573638889,-0.089276473,0.011656717,0.329061575,,,
34,12216,0.41,-0.261559765,0.120027778,0.671559765,0.289972222,-0.093973098,0.450992518,0.08408389,,,
35,12219,1.33,0.443102246,0.122555556,0.886897754,1.207444444,-0.078980709,0.786587626,1.457922086,,,
36,12220,0.81,-0.445801937,0.133138889,1.255801937,0.676861111,-0.094806684,1.577038504,0.458140964,,,
37,12221,0.33,0.659154971,0.135916667,-0.329154971,0.194083333,-0.094534921,0.108342995,0.03766834,,,
38,12222,0.24,-0.897108026,0.135277778,1.137108026,0.104722222,-0.112497096,1.293014662,0.010966744,,,
39,12223,1.58,0.322229229,0.132638889,1.257770771,1.447361111,-0.099547461,1.581987311,2.094854186,,,
40,12226,0.63,-0.466304314,0.138305556,1.096304314,0.491694444,-0.11125466,1.201883148,0.241763427,,,
41,12227,0.15,0.485703889,0.140083333,-0.335703889,0.009916667,-0.111426597,0.112697101,9.83E-05,,,
42,12228,1.42,-0.089883098,0.140916667,1.509883098,1.279083333,-0.115508844,2.279746971,1.636054174,,,
43,12229,-1.41,0.339801312,0.137888889,-1.749801312,-1.547888889,-0.118198843,3.061804631,2.395960012,,,
44,12230,0.59,0.340142039,0.135388889,0.249857961,0.454611111,-0.114729224,0.062429001,0.206671262,,,
45,12233,-0.27,0.222651369,0.130333333,-0.492651369,-0.400333333,-0.114168573,0.242705371,0.160266778,,,
46,12234,0.55,-0.000954423,0.125222222,0.550954423,0.424777778,-0.114079187,0.303550776,0.18043616,,,
47,12235,0.87,0.511714202,0.123027778,0.358285798,0.746972222,-0.106928734,0.128368713,0.557967501,,,
48,12236,1.19,0.084738064,0.12875,1.105261936,1.06125,-0.105200491,1.221603946,1.126251563,,,
49,12240,0.56,0.032148706,0.127805556,0.527851294,0.432194444,-0.104881568,0.278626988,0.186792038,,,
50,12241,-0.58,0.801621502,0.125027778,-1.381621502,-0.705027778,-0.118599464,1.908877975,0.497064167,,,
51,12242,-0.06,-0.477203963,0.124916667,0.417203963,-0.184916667,-0.118881013,0.174059146,0.034194174,,,
52,12243,-1.17,0.331588322,0.124361111,-1.501588322,-1.294361111,-0.121177364,2.25476749,1.675370686,,,
53,12244,0.66,0.637919852,0.130694444,0.022080148,0.529305556,-0.116729294,0.000487533,0.280164371,,,
54,12247,0.67,-0.115565813,0.128583333,0.785565813,0.541416667,-0.118492319,0.617113646,0.293132007,,,
55,12248,0.18,0.06670417,0.133416667,0.11329583,0.046583333,-0.117513773,0.012835945,0.002170007,,,
56,12249,-0.05,1.288393895,0.131388889,-1.338393895,-0.181388889,-0.133691778,1.791298219,0.032901929,,,
57,12250,1.38,-0.512321839,0.1305,1.892321839,1.2495,-0.148993864,3.580881944,1.56125025,,,
58,12251,0.92,-0.290039703,0.135055556,1.210039703,0.784944444,-0.154390604,1.464196082,0.616137781,,,
59,12254,0.2,0.554443089,0.135111111,-0.354443089,0.064888889,-0.154162997,0.125629903,0.004210568,,,
