,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,,,
1,306,0.4,0.204386227,0.011911765,0.195613773,0.388088235,0.192474462,0.038264748,0.150612478,,,,
2,307,0.26,-0.154469893,0.0105,0.414469893,0.2495,0.002162562,0.171785292,0.06225025,,,,
3,308,0.13,-0.548300663,0.008852941,0.678300663,0.121147059,-0.197229245,0.460091789,0.01467661,,,,
4,309,0.1,-0.016478048,0.010323529,0.116478048,0.089676471,-0.170749936,0.013567136,0.008041869,,,,
5,312,0.43,0.730154841,0.013470588,-0.300154841,0.416529412,-0.107361708,0.090092928,0.173496751,,,,
6,313,-0.03,-0.656521852,0.015382353,0.626521852,-0.045382353,-0.179126383,0.392529631,0.002059558,,,,
7,314,-0.74,-0.06913893,0.019058824,-0.67086107,-0.759058824,-0.104975134,0.450054575,0.576170298,,,,
8,315,-1.24,-0.962362042,0.014705882,-0.277637958,-1.254705882,0.105770706,0.077082836,1.574286851,,,,
9,316,0,-0.198732933,0.015,0.198732933,-0.015,0.094715916,0.039494779,0.000225,,,,
10,319,0.25,0.035910067,0.015852941,0.214089933,0.234147059,0.089773463,0.0458345,0.054824845,,,,
11,320,-1.12,-0.088282926,0.013058824,-1.031717074,-1.133058824,0.087067272,1.064440121,1.283822298,,,,
12,321,-0.22,-0.574471973,0.008588235,0.354471973,-0.228588235,0.076527306,0.12565038,0.052252581,,,,
13,322,0.49,-0.177919763,0.011647059,0.667919763,0.478352941,0.054612532,0.44611681,0.228821536,,,,
14,323,0.07,0.78948759,0.0165,-0.71948759,0.0535,0.016700043,0.517662393,0.00286225,,,,
15,326,0.12,0.441764952,0.017911765,-0.321764952,0.102088235,0.010094924,0.103532684,0.010422008,,,,
16,327,0.15,-0.1025864,0.019558824,0.2525864,0.130441176,0.006857753,0.063799889,0.017014901,,,,
17,328,0.61,0.602742187,0.023264706,0.007257813,0.586735294,0.026592359,5.27E-05,0.344258305,,,,
18,330,2.02,1.226306999,0.033,0.793693001,1.987,0.174738104,0.62994858,3.948169,,,,
19,333,0.62,1.800727725,0.044705882,-1.180727725,0.575294118,0.114183816,1.394117961,0.330963322,,,,
20,334,1.28,-1.386698244,0.044617647,2.666698244,1.235382353,-0.093721641,7.111279525,1.526169558,,,,
21,335,1.14,0.794417445,0.039852941,0.345582555,1.100147059,-0.055144087,0.119427302,1.210323551,,,,
22,336,0.55,-0.430005008,0.035911765,0.980005008,0.514088235,-0.07317001,0.960409816,0.264286714,,,,
23,337,0.05,0.725720503,0.037911765,-0.675720503,0.012088235,-0.084040244,0.456598198,0.000146125,,,,
24,340,0.18,-0.163326927,0.037676471,0.343326927,0.142323529,-0.084794035,0.117873379,0.020255987,,,,
25,341,0.09,-0.191786504,0.033676471,0.281786504,0.056323529,-0.085043759,0.079403634,0.00317234,,,,
26,342,0.29,0.519657383,0.034411765,-0.229657383,0.255588235,-0.082870309,0.052742514,0.065325346,,,,
27,343,0.61,0.783745373,0.035470588,-0.173745373,0.574529412,-0.072935245,0.030187455,0.330084045,,,,
28,344,-0.66,0.017214238,0.038764706,-0.677214238,-0.698764706,-0.069656282,0.458619124,0.488272114,,,,
29,347,-0.56,-0.265294646,0.038352941,-0.294705354,-0.598352941,-0.061241905,0.086851245,0.358026242,,,,
30,348,-0.05,-0.329760325,0.038147059,0.279760325,-0.088147059,-0.061823425,0.078265839,0.007769904,,,,
31,349,0.83,-0.295718361,0.034088235,1.125718361,0.795911765,-0.073475986,1.267241829,0.633475537,,,,
32,350,-0.04,-0.759929942,0.032470588,0.719929942,-0.072470588,-0.083239376,0.518299122,0.005251986,,,,
33,351,0.4,-0.385530707,0.029294118,0.785530707,0.370705882,-0.091491862,0.617058491,0.137422851,,,,
34,354,0.03,-0.879157521,0.027117647,0.909157521,0.002882353,-0.106619606,0.826567398,8.31E-06,,,,
35,355,0.49,0.145231998,0.026470588,0.344768002,0.463529412,-0.102537798,0.118864975,0.214859516,,,,
36,356,0.99,0.214814816,0.027294118,0.775185184,0.962705882,-0.092254573,0.600912069,0.926802616,,,,
37,357,0.02,0.509495796,0.028941176,-0.489495796,-0.008941176,-0.095430124,0.239606134,7.99E-05,,,,
38,361,1.22,-0.056329429,0.031,1.276329429,1.189,-0.094312312,1.629016811,1.413721,,,,
39,362,0.62,1.543250672,0.037147059,-0.923250672,0.582852941,-0.100999042,0.852391803,0.339717551,,,,
40,363,0.55,0.196471339,0.037941176,0.353528661,0.512058824,-0.096775157,0.124982514,0.262204239,,,,
41,364,-0.8,0.025314434,0.038911765,-0.825314434,-0.838911765,-0.093547009,0.681143915,0.703772949,,,,
42,368,1.02,-0.592924273,0.035088235,1.612924273,0.984911765,-0.115500773,2.601524712,0.970051184,,,,
43,369,0.4,0.358659504,0.037352941,0.041340496,0.362647059,-0.111861688,0.001709037,0.131512889,,,,
44,370,0.12,-0.118962419,0.040764706,0.238962419,0.079235294,-0.111321907,0.057103038,0.006278232,,,,
45,371,-0.13,-0.053314514,0.043323529,-0.076685486,-0.173323529,-0.109648849,0.005880664,0.030041046,,,,
46,372,-0.1,-0.170587176,0.044617647,0.070587176,-0.144617647,-0.10816805,0.004982549,0.020914264,,,,
47,375,0.74,0.57641519,0.049558824,0.16358481,0.690441176,-0.099448678,0.02675999,0.476709018,,,,
48,376,0.07,0.801178685,0.049705882,-0.731178685,0.020294118,-0.105950418,0.534622269,0.000411851,,,,
49,377,0.25,-0.907439101,0.045294118,1.157439101,0.204705882,-0.122582758,1.339665273,0.041904498,,,,
