,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,,
1,12170,-2.15,0.736032824,0.184444444,-2.886032824,-2.334444444,-0.55158838,8.329185461,5.449630864,,,
2,12171,-0.87,0.424942939,0.175361111,-1.294942939,-1.045361111,-0.428098319,1.676877214,1.092779853,,,
3,12172,0.8,0.842589738,0.171388889,-0.042589738,0.628611111,-0.305763247,0.001813886,0.395151929,,,
4,12173,-0.88,-0.176647939,0.173083333,-0.703352061,-1.053083333,-0.202062445,0.494704122,1.108984507,,,
5,12174,-1.43,0.417258817,0.171333333,-1.847258817,-1.601333333,-0.211464743,3.412365137,2.564268444,,,
6,12177,-0.87,0.351502183,0.162916667,-1.221502183,-1.032916667,-0.207352217,1.492067582,1.06691684,,,
7,12178,0.29,-0.182599332,0.157305556,0.472599332,0.132694444,-0.201712229,0.223350129,0.017607816,,,
8,12179,1.01,1.501997343,0.156055556,-0.491997343,0.853944444,-0.162341843,0.242061385,0.729221114,,,
9,12180,-1.16,0.264545049,0.154333333,-1.424545049,-1.314333333,-0.156375843,2.029328597,1.727472111,,,
10,12181,0.78,-0.015255304,0.145583333,0.795255304,0.634416667,-0.154982048,0.632430998,0.402484507,,,
11,12184,-0.13,0.429560352,0.148777778,-0.559560352,-0.278777778,-0.155620972,0.313107787,0.077717049,,,
12,12185,-0.9,-0.464038504,0.148861111,-0.435961496,-1.048861111,-0.114540445,0.190062426,1.10010963,,,
13,12186,-0.54,0.615643859,0.144694444,-1.155643859,-0.684694444,-0.13550381,1.33551273,0.468806482,,,
14,12187,0.98,-0.050493619,0.141083333,1.030493619,0.838916667,-0.138497644,1.0619171,0.703781174,,,
15,12188,1.73,0.684147307,0.138805556,1.045852693,1.591194444,-0.087195615,1.093807854,2.53189976,,,
16,12191,0.46,0.493109397,0.138083333,-0.033109397,0.321916667,-0.081521348,0.001096232,0.10363034,,,
17,12192,-0.06,0.174955309,0.126388889,-0.234955309,-0.186388889,-0.079544216,0.055203997,0.034740818,,,
18,12193,0.23,-0.290464322,0.122444444,0.520464322,0.107555556,-0.083692452,0.270883111,0.011568198,,,
19,12194,-1.02,-0.190656041,0.121861111,-0.829343959,-1.141861111,-0.064591509,0.687811402,1.303846797,,,
20,12195,1.47,0.267165168,0.112527778,1.202834832,1.357472222,-0.051673203,1.446811632,1.842730834,,,
21,12199,-0.13,0.252737418,0.112222222,-0.382737418,-0.242222222,-0.052278688,0.146487931,0.058671605,,,
22,12200,1.12,0.207024833,0.110388889,0.912975167,1.009611111,-0.046143288,0.833523655,1.019314596,,,
23,12201,-0.04,-0.115301975,0.105277778,0.075301975,-0.145277778,-0.044794192,0.005670387,0.021105633,,,
24,12202,0.59,-0.069740087,0.093388889,0.659740087,0.496611111,-0.047388233,0.435256983,0.246622596,,,
25,12205,0.61,0.069985491,0.091972222,0.540014509,0.518027778,-0.046635988,0.29161567,0.268352779,,,
26,12206,0.8,-0.275658127,0.091583333,1.075658127,0.708416667,-0.057531148,1.157040405,0.501854174,,,
27,12207,0.22,0.816862331,0.089388889,-0.596862331,0.130611111,-0.062600335,0.356244643,0.017059262,,,
28,12208,0.1,0.148582917,0.083055556,-0.048582917,0.016944444,-0.061508854,0.0023603,0.000287114,,,
29,12209,-0.5,-0.181032714,0.078833333,-0.318967286,-0.578833333,-0.055998238,0.10174013,0.335048028,,,
30,12212,0.55,0.305093056,0.080777778,0.244906944,0.469222222,-0.052090449,0.059979411,0.220169494,,,
31,12213,0.18,0.084150467,0.077916667,0.095849533,0.102083333,-0.05121266,0.009187133,0.010421007,,,
32,12214,-0.88,0.153415511,0.079666667,-1.033415511,-0.959666667,-0.05196064,1.067947619,0.920960111,,,
33,12215,0.24,0.483359556,0.081722222,-0.243359556,0.158277778,-0.051691929,0.059223874,0.025051855,,,
34,12216,0.01,-0.011978566,0.090138889,0.021978566,-0.080138889,-0.050826487,0.000483057,0.006422242,,,
35,12219,0.53,0.626012698,0.090333333,-0.096012698,0.439666667,-0.047063742,0.009218438,0.193306778,,,
36,12220,0.76,-0.052902345,0.096666667,0.812902345,0.663333333,-0.049400335,0.660810223,0.440011111,,,
37,12221,0.67,0.569484123,0.096944444,0.100515877,0.573055556,-0.043701808,0.010103442,0.32839267,,,
38,12222,0.23,-0.470307394,0.098916667,0.700307394,0.131083333,-0.050066206,0.490430447,0.01718284,,,
