,sales_small.ProductID,sales_small.WeekKey,sales_small.Channel,sales_small.Country,sales_small.CSP,sales_small.SalesVolume,sales_small.TotalStockVolume,sales_small.StoreStockVolume,sales_small.DepotStockVolume,sales_small.FutureCommitmentVolume,sales_small.IntakeVolume,sales_small.StoresWithStockCount,sales_small.StoresWithSalesCount,price_change_tw,price_change_before,products.Season,products.Group,products.SubGroup,products.Class,products.SubClass,sales_small.SalesVolume_nw,price_change_nw,season_nw
0,135fc45e,201502,Stores,B,18.984,3,39,6,33,0,0,0.10099999999999999,0.0078,0.0,0.0,L,26387251,c3567a18,8face522,641d430c,3.0,0.0,Spring
3,25e07883,201502,Stores,B,13.583,6,6,2,4,0,0,0.023280000000000002,0.0194,2.700000000000001,0.0,L,26387251,14edd834,96d57a3c,4e83142f,17.0,0.0,Spring
13,3cdb954f,201502,Online,B,14.482999999999999,2,2,0,2,0,0,0.0039,0.0039,0.0,0.0,L,26387251,c3567a18,c7b04e18,ef307285,6.0,0.0,Spring
14,3cdb954f,201502,Stores,A,15.833,3,2,2,0,0,0,0.0389,0.0039,0.0,0.0,L,26387251,c3567a18,c7b04e18,ef307285,5.0,0.0,Spring
15,3cdb954f,201502,Stores,B,14.482999999999999,29,185,43,70,0,72,0.8745,0.1127,0.0,0.0,L,26387251,c3567a18,c7b04e18,ef307285,58.0,0.0,Spring
18,4f6eec3c,201502,Online,B,18.984,1,5,0,5,0,0,0.0039,0.0039,0.0,0.0,L,26387251,c3567a18,8face522,641d430c,1.0,0.0,Spring
20,5334cae3,201502,Online,B,17.183,1,2,0,2,0,0,0.0039,0.0039,0.0,0.0,L,26387251,c3567a18,c7b04e18,f482aa82,2.0,0.0,Spring
21,5334cae3,201502,Stores,B,17.183,4,12,5,7,0,0,0.0466,0.0117,0.0,0.0,L,26387251,c3567a18,c7b04e18,f482aa82,6.0,0.0,Spring
22,59e5de32,201502,Online,B,15.383,1,2,0,2,0,0,0.0039,0.0039,0.0,0.0,L,26387251,c3567a18,38b52c5e,aafc0c06,4.0,0.0,Spring
23,651b3aec,201502,Stores,B,17.183,0,32,4,11,0,17,0.0894,0.0,0.0,0.0,L,26387251,c3567a18,c7b04e18,ef307285,7.0,0.0,Spring
24,661633e,201502,Online,B,25.735,1,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,26387251,14edd834,596023b5,3ae5b37c,2.0,0.0,Spring
25,661633e,201502,Stores,B,25.735,3,6,3,4,0,-1,0.10099999999999999,0.0078,0.0,0.0,L,26387251,14edd834,596023b5,3ae5b37c,3.0,0.0,Spring
26,6ef73d16,201502,Online,B,14.482999999999999,4,3,0,3,0,0,0.0039,0.0039,0.0,0.0,L,26387251,c3567a18,1ed9f279,fa805c6,14.0,0.0,Spring
27,6ef73d16,201502,Stores,A,15.833,3,4,4,0,0,0,0.1244,0.0078,0.0,0.0,L,26387251,c3567a18,1ed9f279,fa805c6,6.0,0.0,Spring
28,7c3602f1,201502,Stores,A,18.084,16,8,8,0,0,0,0.2526,0.0661,0.0,0.0,L,26387251,c3567a18,3225bef8,89e9401c,14.0,0.0,Spring
29,7fc58fd9,201502,Online,B,18.084,2,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,26387251,14edd834,96d57a3c,3906b741,2.0,0.0,Spring
30,7fc58fd9,201502,Stores,A,20.334,2,2,2,0,0,0,0.035,0.0039,0.0,0.0,L,26387251,14edd834,96d57a3c,3906b741,2.0,0.0,Spring
31,7fc58fd9,201502,Stores,B,18.084,36,89,44,44,0,1,0.9056,0.1244,0.0,0.0,L,26387251,14edd834,96d57a3c,3906b741,36.0,0.0,Spring
32,8c66ba5e,201502,Stores,B,17.183,22,306,98,60,149,-1,0.68015,0.07,0.0,0.0,L,26387251,c3567a18,c7b04e18,f482aa82,156.0,0.0,Spring
33,8f22ae9a,201502,Online,B,14.482999999999999,2,14,0,7,0,7,0.0039,0.0039,0.0,0.0,L,26387251,c3567a18,8face522,641d430c,6.0,0.0,Spring
34,8f22ae9a,201502,Stores,B,14.482999999999999,1,0,0,0,0,0,0.0,0.0039,0.0,0.0,L,26387251,c3567a18,8face522,641d430c,1.0,0.0,Spring
35,95cbb6f0,201502,Stores,A,21.684,2,7,7,0,0,0,0.1399,0.0039,0.0,0.0,L,26387251,c3567a18,8face522,641d430c,3.0,0.0,Spring
37,9bf240d3,201502,Online,B,18.084,2,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,26387251,14edd834,96d57a3c,3906b741,6.0,0.0,Spring
38,9bf240d3,201502,Stores,A,20.334,0,1,1,0,0,0,0.0311,0.0,1.3500000000000014,0.0,L,26387251,14edd834,96d57a3c,3906b741,4.0,0.0,Spring
39,9ceab569,201502,Stores,A,14.482999999999999,2,4,4,0,0,0,0.1244,0.0078,0.0,0.0,L,26387251,c3567a18,1ed9f279,6797d7af,3.0,0.0,Spring
40,ae84e7c2,201502,Online,B,18.084,2,7,0,7,0,0,0.0039,0.0039,0.0,0.0,L,26387251,14edd834,96d57a3c,aafc0c06,3.0,0.0,Spring
47,ba4fe7e1,201502,Stores,B,14.482999999999999,5,40,17,23,0,0,0.2837,0.0155,0.0,0.0,L,26387251,c3567a18,c7b04e18,ef307285,10.0,0.0,Spring
48,bc79b74,201502,Online,B,15.383,2,3,0,0,2,1,0.0039,0.0039,0.0,0.0,L,26387251,cd1e4750,cd1e4750,4f7e2f99,2.0,0.0,Spring
51,c52b07,201502,Stores,B,11.782,1,0,0,0,0,0,0.0,0.0039,0.0,0.0,L,26387251,c3567a18,c7b04e18,ef307285,0.0,0.0,Spring
52,c9fa9e92,201502,Online,B,18.984,2,5,0,5,0,0,0.0039,0.0039,0.0,0.0,L,26387251,c3567a18,8face522,641d430c,2.0,0.0,Spring
61,e5500fac,201502,Online,B,15.383,3,2,0,2,0,0,0.0039,0.0039,0.0,0.0,L,26387251,c3567a18,38b52c5e,faf33996,6.0,0.0,Spring
63,e5af4e6,201502,Stores,A,19.209,3,3,3,0,0,0,0.0622,0.0078,0.0,0.0,L,26387251,c3567a18,8face522,cbfb9701,2.0,0.0,Spring
64,e877c846,201502,Stores,A,16.958,6,3,3,0,0,0,0.0816,0.0194,0.0,0.0,L,26387251,c3567a18,c7b04e18,ef307285,7.0,0.0,Spring
69,f78746ea,201502,Online,B,14.482999999999999,3,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,26387251,c3567a18,c7b04e18,ef307285,5.0,0.0,Spring
75,fe4f3f4b,201502,Online,B,18.084,3,2,0,2,0,0,0.0039,0.0039,0.0,0.0,L,26387251,14edd834,96d57a3c,4e83142f,10.0,0.0,Spring
76,fe4f3f4b,201502,Stores,A,20.334,3,6,6,0,0,0,0.1399,0.0078,0.0,0.0,L,26387251,14edd834,96d57a3c,4e83142f,20.0,0.0,Spring
77,fe4f3f4b,201502,Stores,B,18.084,125,159,48,111,0,0,0.6782,0.3381,0.0,0.0,L,26387251,14edd834,96d57a3c,4e83142f,207.0,0.0,Spring
79,135fc45e,201503,Stores,B,18.984,3,38,6,33,0,-1,0.10099999999999999,0.0078,0.0,0.0,L,26387251,c3567a18,8face522,641d430c,3.0,0.0,Spring
85,25e07883,201503,Stores,B,13.583,17,4,4,0,0,0,0.2526,0.0661,0.0,0.0,L,26387251,14edd834,96d57a3c,4e83142f,16.0,0.0,Spring
