,sales_small.ProductID,sales_small.WeekKey,sales_small.Channel,sales_small.Country,sales_small.CSP,sales_small.SalesVolume,sales_small.TotalStockVolume,sales_small.StoreStockVolume,sales_small.DepotStockVolume,sales_small.FutureCommitmentVolume,sales_small.IntakeVolume,sales_small.StoresWithStockCount,sales_small.StoresWithSalesCount,price_change_tw,price_change_before,products.Season,products.Group,products.SubGroup,products.Class,products.SubClass,sales_small.SalesVolume_nw,price_change_nw,season_nw
5,2d16059c,201502,Stores,B,13.583,2,213,3,74,40,96,0.0894,0.0078,0.0,0.0,L,606565a1,33de6bfe,57dedfae,e5db0621,82.0,0.0,Spring
6,3185738c,201502,Stores,A,16.958,0,4,4,0,0,0,0.0389,0.0,0.0,0.0,L,606565a1,33de6bfe,8f5e4e2f,52fc415a,2.0,0.0,Spring
8,3504ea86,201502,Stores,B,14.482999999999999,0,90,6,15,41,28,0.1321,0.0,0.0,0.0,L,606565a1,9d3d7fe0,aea70009,7b771b3e,5.0,0.0,Spring
10,3ae20ac,201502,Stores,B,12.908,4,193,51,2,67,73,0.8259,0.0194,0.0,0.0,L,606565a1,9d3d7fe0,aea70009,f3160a73,18.0,0.0,Spring
16,41ab9b25,201502,Stores,B,12.232000000000001,3,59,20,20,0,19,0.2332,0.0155,0.0,0.0,L,606565a1,33de6bfe,8f5e4e2f,52fc415a,6.0,0.0,Spring
41,b2631d43,201502,Online,B,11.557,2,6,0,6,0,0,0.0039,0.0039,0.0,0.0,L,606565a1,9d3d7fe0,4b4aee60,16fbe41a,5.0,0.0,Spring
42,b2631d43,201502,Stores,A,12.007,0,2,2,0,0,0,0.0466,0.0,0.0,0.0,L,606565a1,9d3d7fe0,4b4aee60,16fbe41a,4.0,0.0,Spring
43,b2631d43,201502,Stores,B,11.557,30,178,49,39,90,0,0.65875,0.1516,0.0,0.0,L,606565a1,9d3d7fe0,4b4aee60,16fbe41a,82.0,0.0,Spring
44,b2f88060,201502,Stores,A,15.158,0,2,2,0,0,0,0.0622,0.0,0.0,0.0,L,606565a1,9d3d7fe0,aea70009,7b771b3e,2.0,0.0,Spring
46,b4b494ad,201502,Stores,B,13.133,5,238,50,1,129,58,0.58105,0.0466,0.0,0.0,L,606565a1,eb5237dd,fcb53a7d,255a6b2d,46.0,0.0,Spring
