,sales_small.ProductID,sales_small.WeekKey,sales_small.Channel,sales_small.Country,sales_small.CSP,sales_small.SalesVolume,sales_small.TotalStockVolume,sales_small.StoreStockVolume,sales_small.DepotStockVolume,sales_small.FutureCommitmentVolume,sales_small.IntakeVolume,sales_small.StoresWithStockCount,sales_small.StoresWithSalesCount,price_change_tw,price_change_before,products.Season,products.Group,products.SubGroup,products.Class,products.SubClass,sales_small.SalesVolume_nw,price_change_nw,season_nw
1,1ff41410,201502,Stores,A,15.833,2,2,2,0,0,0,0.24100000000000002,0.0389,0.0,0.0,L,bca94c97,44b005af,c409cf28,8a0d6232,4.0,0.0,Spring
2,22125db2,201502,Stores,B,18.084,1,6,2,3,0,1,0.0622,0.0039,0.0,0.0,L,bca94c97,44b005af,c409cf28,8a0d6232,1.0,0.0,Spring
9,3896e2fe,201502,Stores,B,15.383,2,23,8,7,8,0,0.3342,0.0039,0.0,0.0,L,bca94c97,8f7078c4,5054325,fed6cf53,4.0,0.0,Spring
11,3bc20bca,201502,Stores,A,18.084,0,0,0,0,0,0,0.0,0.0,0.0,0.0,L,bca94c97,44b005af,bb900370,fed6cf53,0.0,0.0,Spring
12,3cbe36f,201502,Stores,B,12.007,14,82,32,18,14,18,0.9172,0.1593,0.0,0.0,L,bca94c97,c830b21c,7f5a3521,ea2c7596,91.0,0.0,Spring
36,96a14c52,201502,Stores,B,12.007,1,32,5,5,17,5,0.3342,0.0078,0.0,0.0,L,bca94c97,c830b21c,7f5a3521,ea2c7596,4.0,0.0,Spring
45,b44561b2,201502,Stores,B,11.557,1,12,4,4,0,4,0.3342,0.0078,0.0,0.0,L,bca94c97,c830b21c,7f5a3521,ea2c7596,5.0,0.0,Spring
49,c184281c,201502,Online,B,21.234,2,2,0,2,0,0,0.0039,0.0039,0.0,0.0,L,bca94c97,44b005af,bb900370,c6ea2cc6,3.0,0.0,Spring
50,c184281c,201502,Stores,A,24.61,0,1,1,0,0,0,0.0117,0.0,0.0,0.0,L,bca94c97,44b005af,bb900370,c6ea2cc6,0.0,0.0,Spring
53,d183fb2f,201502,Online,B,16.283,2,2,0,2,0,0,0.0039,0.0039,0.0,0.0,L,bca94c97,44b005af,bb900370,fed6cf53,3.0,0.0,Spring
54,d767be66,201502,Stores,A,12.908,1,0,0,0,0,0,0.0,0.0039,0.0,0.0,L,bca94c97,c830b21c,7f5a3521,d09982e0,2.0,0.0,Spring
56,db377aea,201502,Online,B,18.084,1,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,bca94c97,44b005af,bb900370,1236020e,3.0,0.0,Spring
57,db377aea,201502,Stores,A,20.514,0,1,1,0,0,0,0.0233,0.0,0.0,0.0,L,bca94c97,44b005af,bb900370,1236020e,2.0,0.0,Spring
58,db377aea,201502,Stores,B,18.084,5,33,16,17,0,0,0.4625,0.0194,0.0,0.0,L,bca94c97,44b005af,bb900370,1236020e,16.0,0.0,Spring
59,dc8118a4,201502,Stores,A,21.684,0,1,1,0,0,0,0.0117,0.0,0.0,0.0,L,bca94c97,44b005af,bb900370,c6ea2cc6,0.0,0.0,Spring
60,dedf7ec6,201502,Stores,B,11.782,3,35,5,20,0,10,0.1283,0.0117,0.0,0.0,L,bca94c97,c830b21c,7f5a3521,d09982e0,11.0,0.0,Spring
65,e9cb1ed7,201502,Stores,B,17.183,5,4,1,3,0,0,0.1555,0.07,0.0,0.0,L,bca94c97,44b005af,4a5b1ef4,bd6013db,3.0,0.0,Spring
67,ed7724ff,201502,Stores,B,12.007,3,141,24,23,71,23,0.9211,0.0311,0.0,0.0,L,bca94c97,c830b21c,7f5a3521,ea2c7596,18.0,0.0,Spring
70,f7a1443c,201502,Stores,A,13.357999999999999,2,1,1,0,0,0,0.0233,0.0039,0.0,0.0,L,bca94c97,8f7078c4,5054325,3f899150,3.0,0.0,Spring
71,f845ed90,201502,Stores,B,18.084,2,27,6,8,0,13,0.649,0.0078,0.0,0.0,L,bca94c97,44b005af,c409cf28,8a0d6232,4.0,0.0,Spring
72,fa0a6c28,201502,Online,B,12.683,6,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,bca94c97,c830b21c,6ad22ddd,2f6d2d03,6.0,0.0,Spring
73,fa0a6c28,201502,Stores,A,14.033,4,2,2,0,0,0,0.0622,0.0117,0.0,0.0,L,bca94c97,c830b21c,6ad22ddd,2f6d2d03,5.0,0.0,Spring
74,fd33a12b,201502,Stores,B,22.585,2,0,0,0,0,0,0.0,0.0039,0.0,0.0,L,bca94c97,44b005af,bb900370,c0adca70,0.0,0.0,Spring
78,12fd042,201503,Stores,B,16.283,1,9,1,3,0,5,0.0505,0.0039,0.0,0.0,L,bca94c97,8f7078c4,27441678,db0c470d,2.0,0.0,Spring
82,1ff41410,201503,Stores,A,15.833,4,2,2,0,0,0,0.2449,0.0855,0.0,0.0,L,bca94c97,44b005af,c409cf28,8a0d6232,4.0,0.0,Spring
83,22125db2,201503,Online,B,18.084,2,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,bca94c97,44b005af,c409cf28,8a0d6232,2.0,0.0,Spring
