,sales_small.ProductID,sales_small.WeekKey,sales_small.Channel,sales_small.Country,sales_small.CSP,sales_small.SalesVolume,sales_small.TotalStockVolume,sales_small.StoreStockVolume,sales_small.DepotStockVolume,sales_small.FutureCommitmentVolume,sales_small.IntakeVolume,sales_small.StoresWithStockCount,sales_small.StoresWithSalesCount,price_change_tw,price_change_before,products.Season,products.Group,products.SubGroup,products.Class,products.SubClass,sales_small.SalesVolume_nw,price_change_nw,season_nw
4,2729a59e,201502,Stores,B,14.482999999999999,8,117,7,8,102,0,0.2293,0.035,0.9000000000000004,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,10.0,0.0,Spring
7,34cd83e4,201502,Stores,A,18.084,6,9,9,0,0,0,0.2915,0.0311,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,7.0,0.0,Spring
19,50eb65e5,201502,Stores,B,15.383,6,13,6,7,0,0,0.2254,0.035,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,7.0,0.0,Spring
62,e58aa2c5,201502,Stores,B,17.183,10,32,17,3,12,0,0.4392,0.0389,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,26.0,0.0,Spring
68,f6795143,201502,Stores,B,27.986,2,19,4,10,6,-1,0.1283,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,80b04f38,f740e1ce,3.0,0.0,Spring
86,2729a59e,201503,Stores,B,14.482999999999999,10,116,8,6,102,0,0.2293,0.0428,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,11.0,0.0,Spring
94,34cd83e4,201503,Stores,A,18.084,7,11,11,0,0,0,0.2876,0.0389,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,8.0,0.0,Spring
113,50eb65e5,201503,Stores,B,15.383,7,12,8,4,0,0,0.2254,0.0428,0.0,0.0,L,edf80f3a,edf80f3a,475fad98,76b05919,8.0,0.0,Spring
116,57d319d8,201503,Online,B,12.232000000000001,2,1,0,1,0,0,0.0039,0.0039,0.0,0.0,L,edf80f3a,edf80f3a,b63dd552,b27bd2f3,2.0,0.0,Spring
164,cdb5d01e,201503,Stores,B,16.283,23,131,65,3,63,0,0.6102,0.0894,0.0,0.0,L,edf80f3a,edf80f3a,bf003871,55818191,69.0,0.0,Spring
